613,28637,11314,3804,2536,10675,4808,14122,3955,[note 1][13]
606,28634,11314,3804,2536,10672,4808,14122,3955,[note 2][14]
599,28635,11314,3805,2536,10672,4808,14122,3955,[note 3][15]
592,28607,11314,3810,2536,10672,4808,14089,3955,[note 4][16]
582,28539,11298,3806,2535,10672,4808,14061,3955,[note 5][17]
575,28476,11298,3803,2535,10672,4808,14001,3955,[18]
568,28454,11297,3800,2534,10672,4808,13982,3955,[note 6][19]
554,28388,11296,3805,2533,10672,4808,13911,3955,[20]
547,28295,11295,3800,2532,10672,4808,13823,3955,[21]
540,28220,11291,3792,2530,10672,4808,13756,3953,[22]
533,28147,11291,3792,2530,10672,4808,13683,3953,[23]
526,28073,11290,3792,2529,10672,4808,13609,3953,[24]
512,27952,11284,3786,2524,10672,4808,13494,3952,[25]
505,27929,11283,3787,2524,10672,4808,13470,3951,[26]
491,27748,11279,3786,2520,10672,4808,13290,3951,[27]
477,27642,11261,3760,2506,10673,4808,13209,3947,[28]
470,27573,11246,3748,2499,10670,4807,13155,3940,[note 7][29][30]
463,27514,11220,3729,2482,10666,4806,13119,3932,[31]
456,27443,11207,3718,2473,10666,4806,13059,3924,[32]
449,27305,11169,3674,2444,10666,4806,12965,3919,[33]
435,27110,11132,3652,2429,10666,4806,12827,3912,[34]
421,26898,11105,3635,2407,10666,4806,12632,3907,[35]
407,26558,10990,3589,2386,10564,4716,12440,3903,[36]
393,26009,10793,3565,2358,10212,4573,12267,3877,[37]
379,25480,10557,3515,2333,9862,4408,12138,3831,[38]
365,24837,10296,3429,2263,9602,4301,11841,3747,[39]
351,24282,9976,3285,2170,"≥9,343","≥4,162",11619,3629,[40]
337,23659,9574,3155,2091,9238,4037,11301,3461,[41]
323,22824,9147,3044,1995,"≥8,881","≥3,826",10934,3341,[42]
309,22022,8780,2917,1910,8622,3686,10518,3199,[43]
295,21226,8399,2806,1814,8331,3538,10124,3062,[44]
281,20171,7890,2707,1709,8018,3423,9446,2758,[45]
267,18565,7273,2415,1525,7819,3346,8356,2417,[46][47][48]
253,17110,6397,2164,1325,7653,3157,7312,1915,[49][50][51]
241,15291,5765,2047,1214,7082,2963,6190,1598,[52][53]
225,13015,5188,1731,1041,6525,2697,4759,1450,[54][55]
211,9911,4890,1540,926,4665,2705,3706,1259,[56]
204,8950,4476,1472,843,4249,2458,3252,1183,[57]
190,7169,3278,1157,710,3696,1998,2317,570,[58][59]
176,5327,2578,942,601,2720,1461,1655,516,[60][61][62]
162,3664,1794,771,494,1698,871,1216,436,[63][64]
147,2225,1225,543,394,834,466,848,365,[65]
140,1835,1011,506,373,599,323,730,315,[66]
130,1437,825,472,346,391,227,574,252,[67]
123,1201,672,427,319,249,129,525,224,[68]
114,982,613,411,310,174,106,397,197,[69]
102,779,481,412,305,115,75,252,101,[70]
87,528,337,398,264,33,24,97,49,[71]
66,309,202,281,186,12,11,16,5,[72]
51,260,182,248,171,12,11,–,–,[73][74]
40,239,160,226,149,13,11,-,-,[75]
23,176,110,168,108,8,2,–,–,[76]
9,130,82,122,80,8,2,–,–,[77]
0,49,29,49,29,–,–,–,–,[78]
